iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6005.08,0.200268,1935.92,0,1,11.7595,1404.82,119.463
1,3612.73,0.680805,1308.98,1,1,576.189,892.027,1.54815
2,2356.41,0.091567,2169.98,1,1,5.24065,4158.18,793.448
3,4933.06,0.076372,1875.1,1,1,446.896,1137.94,2.54631
4,4411.38,0.076558,2207.14,1,1,1.93913,2211.57,1140.5
5,3046.49,0.157214,1869.64,1,1,8.87811,2571.87,289.687
6,3496.83,0.090592,1568.43,1,1,0.817131,1210.86,1481.85
7,4519.67,0.142827,1727.83,1,1,1590.65,2255.13,1.41774
8,3759.36,0.104809,1866.64,1,1,10.742,1847.74,172.011
9,3605.76,0.925055,1930.82,1,1,2.24392,2192.02,976.873
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6010.13,0.089777,1933.04,0,1,4.20057,1383.66,329.398
1,3608.69,0.059216,1321.35,1,1,574.938,930.368,1.61821
2,2365.42,3.83715,2172.18,1,1,4.81726,4163.99,864.389
3,4958.18,0.054439,1866.83,1,1,470.445,1099.63,2.33743
4,4415.13,0.051742,2208.71,1,1,9.47699,2215.25,233.75
5,3057.53,0.060492,1869.65,1,1,5.4623,2559.91,468.65
6,3504.88,0.157123,1576.32,1,1,4.0821,1226.89,300.555
7,4517.15,0.038276,1728.72,1,1,1593.21,2260.73,1.41897
8,3749.88,0.125871,1871.08,1,1,1.82292,1865.24,1023.21
9,3622.24,6.6291,1931.19,1,1,17.9898,2204.76,122.556
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5994.8,0.613442,1936.31,0,1,2.05063,1402.81,684.086
1,3603.33,1.3784,1303.85,1,1,572.367,883.705,1.54395
2,2361.63,0.596218,2178.68,1,1,1.6242,4177.41,2571.97
3,4916.97,0.099424,1856.06,1,1,448.449,1100.03,2.45297
4,4411.88,0.147194,2207.99,1,1,2.47707,2214.28,893.909
5,3046.88,0.109463,1869.69,1,1,1.40817,2563.74,1820.62
6,3496.51,0.327857,1570.38,1,1,2.56113,1218.31,475.691
7,4533.93,0.065194,1733.55,1,1,1593.69,2262.15,1.41944
8,3746.6,0.089507,1860.85,1,1,5.50695,1841.87,334.462
9,3608.75,0.05647,1926.97,1,1,7.52776,2179.35,289.508
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,6007.81,0.579161,1933.88,0,1,7.83293,1390.91,177.572
1,3596.95,0.123993,1299.94,1,1,564.834,861.573,1.52536
2,2370.83,0.221634,2173.9,1,1,2.10224,4154.65,1976.29
3,4924,0.055699,1861.57,1,1,450.255,1111.61,2.46886
4,4410.14,1.40005,2208.47,1,1,2.70869,2220.75,819.86
5,3046.5,2.36007,1860.85,1,1,15.9801,2561.54,160.296
6,3499.47,0.068813,1569.61,1,1,1.83564,1211.06,659.748
7,4556.01,0.251533,1762.64,1,1,1598.55,2322.98,1.45318
8,3750.22,1.01244,1861.23,1,1,6.53273,1841.48,281.885
9,3608.71,0.053821,1919.8,1,1,16.2438,2167.8,133.454
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8320.35,0.079256,1932.85,0,1,149.834,3078.75,20.5477
1,5186.11,0.127814,2169.47,1,1,2.53993,5670.74,2232.63
2,7806.17,2.93604,2205.63,1,1,11.5048,3245.47,282.097
3,5490.19,0.067823,1867.73,1,1,20.092,3869.78,192.603
4,5878.6,0.012999,1860.97,1,1,14.6818,3441.5,234.406
5,7077.33,0.068358,1929.4,1,1,3.56155,2575.2,723.054
6,3765.14,0.171156,920.289,1,1,834.079,1672.67,2.00541
7,5488.16,0.068413,1841.71,1,1,8.12099,3731.14,459.444
8,5886,1.41165,1821.57,1,1,10.2225,3237.68,316.722
9,6611.31,0.583818,2605.28,1,1,2.12584,6426.44,3023.01
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8295.08,0.770473,1931.84,0,1,149.033,3106.3,20.843
1,5188.02,1.49465,2169.04,1,1,2.6686,5666.18,2123.28
2,7800.01,0.069249,2205.93,1,1,4.87184,3235.03,664.026
3,5482.12,0.797764,1872.87,1,1,10.4907,3896.71,371.443
4,5863.38,0.304632,1856.3,1,1,4.86912,3424.65,703.341
5,7086.2,1.57392,1925.75,1,1,12.7381,2558.81,200.878
6,3757.03,0.062479,919.182,1,1,829.346,1668.6,2.01194
7,5477.78,0.146057,1839.82,1,1,2.44459,3725.76,1524.09
8,5884.64,1.66435,1822.75,1,1,4.17069,3250.84,779.45
9,6614.6,0.112251,2605.42,1,1,4.33576,6420.11,1480.74
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8299.96,0.155422,1937.02,0,1,148.007,3120.73,21.085
1,5178.33,0.045822,2166.32,1,1,4.06079,5657.75,1393.26
2,7798.59,0.052549,2209.1,1,1,1.88583,3248.68,1722.68
3,5483.81,1.43232,1871.06,1,1,4.65988,3881.98,833.063
4,5863.68,1.07289,1861.4,1,1,4.77889,3452.39,722.425
5,7082.32,0.066825,1930.61,1,1,4.22477,2575.89,609.711
6,3769.62,0.370468,929.414,1,1,841.316,1717.9,2.04193
7,5495.66,0.570986,1843.91,1,1,15.4435,3737.38,242.003
8,5860.6,0.119279,1819.26,1,1,2.4345,3239.26,1330.56
9,6625.94,8.81709,2605.27,1,1,21.9478,6463.57,294.498
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,8299.94,0.060584,1930.04,0,1,148.303,3099.59,20.9003
1,5196,0.66964,2187.55,1,1,1.71434,5746.27,3351.89
2,7804.47,1.68911,2205.62,1,1,21.4185,3250.1,151.743
3,5471.67,0.145467,1871.96,1,1,5.59459,3895.26,696.255
4,5884.49,0.641547,1851.13,1,1,12.644,3386.59,267.841
5,7087.87,0.069198,1932.68,1,1,4.8064,2585.69,537.968
6,3769.7,0.136446,918.313,1,1,838.884,1659.56,1.97829
7,5488.55,0.673988,1842.35,1,1,10.0384,3735.21,372.093
8,5871.77,0.799159,1820.47,1,1,9.17453,3240.72,353.23
9,6612.97,2.74419,2606.65,1,1,7.27071,6438.84,885.585
